DateTime,PM2_5,Humi,Temp
2018-12-03 04:00,41,1.0,0.0
2018-12-03 05:00,49,0.0,0.0
2018-12-03 06:00,58,0.0,-1.0
2018-12-03 07:00,55,0.0,1.0
2018-12-03 08:00,47,0.0,0.0
2018-12-03 09:00,46,-1.0,0.0
2018-12-03 10:00,42,-2.0,1.0
2018-12-03 11:00,37,-3.0,0.0
2018-12-03 12:00,38,-2.0,0.0
2018-12-03 13:00,35,-3.0,1.0
2018-12-03 14:00,37,-1.0,0.0
2018-12-03 15:00,40,0.0,0.0
2018-12-03 16:00,38,0.0,0.0
2018-12-03 17:00,41,2.0,0.0
2018-12-03 18:00,41,1.0,0.0
2018-12-03 19:00,43,2.0,0.0
2018-12-03 20:00,42,1.0,-1.0
2018-12-03 21:00,39,1.0,0.0
2018-12-03 22:00,40,2.0,0.0
2018-12-03 23:00,43,1.0,0.0
2018-12-04 00:00,42,1.0,0.0
2018-12-04 01:00,37,0.0,0.0
2018-12-04 02:00,35,0.0,0.0
2018-12-04 03:00,35,0.0,-1.0
2018-12-04 04:00,37,1.0,0.0
2018-12-04 05:00,42,0.0,0.0
2018-12-04 06:00,47,0.0,0.0
2018-12-04 07:00,47,0.0,0.0
2018-12-04 08:00,49,0.0,1.0
2018-12-04 09:00,45,-1.0,0.0
2018-12-04 10:00,43,-3.0,0.0
2018-12-04 11:00,47,-2.0,0.0
2018-12-04 12:00,47,-2.0,1.0
2018-12-04 13:00,40,-3.0,0.0
2018-12-04 14:00,41,-1.0,0.0
2018-12-04 15:00,42,0.0,0.0
2018-12-04 16:00,41,2.0,0.0
2018-12-04 17:00,48,2.0,0.0
2018-12-04 18:00,44,2.0,0.0
2018-12-04 19:00,39,0.0,0.0
2018-12-04 20:00,44,0.0,-1.0
2018-12-04 21:00,46,1.0,0.0
2018-12-04 22:00,46,1.0,0.0
2018-12-04 23:00,48,0.0,0.0
2018-12-05 00:00,47,1.0,0.0
2018-12-05 01:00,48,1.0,0.0
2018-12-05 02:00,47,0.0,0.0
2018-12-05 03:00,48,1.0,-1.0
2018-12-05 04:00,46,-1.0,0.0
2018-12-05 05:00,47,1.0,0.0
2018-12-05 06:00,56,0.0,0.0
2018-12-05 07:00,49,0.0,0.0
2018-12-05 08:00,48,0.0,0.0
2018-12-05 09:00,49,-3.0,1.0
2018-12-05 10:00,47,-2.0,0.0
2018-12-05 11:00,48,-2.0,0.0
2018-12-05 12:00,44,-4.0,1.0
2018-12-05 13:00,42,-2.0,0.0
2018-12-05 14:00,42,-1.0,0.0
2018-12-05 15:00,45,0.0,0.0
2018-12-05 16:00,48,3.0,0.0
2018-12-05 17:00,48,3.0,0.0
2018-12-05 18:00,46,2.0,0.0
2018-12-05 19:00,43,-1.0,-1.0
2018-12-05 20:00,40,0.0,0.0
2018-12-05 21:00,38,1.0,0.0
2018-12-05 22:00,42,1.0,0.0
